iter	Passed	Remaining
601	43977	7159
602	44006	7078
603	44086	7007
604	44173	6936
605	44299	6871
606	44347	6794
607	44433	6723
608	44516	6651
609	44612	6582
610	44700	6511
611	44786	6439
612	44858	6366
613	44943	6295
614	45030	6223
615	45109	6151
616	45186	6078
617	45276	6007
618	45345	5933
619	45418	5860
620	45496	5787
621	45586	5716
622	45665	5643
623	45730	5569
624	45799	5495
625	45892	5425
626	45951	5349
627	45989	5272
628	46066	5199
629	46149	5127
630	46220	5054
631	46285	4980
632	46362	4907
633	46447	4835
634	46534	4763
635	46604	4689
636	46679	4616
637	46749	4543
638	46785	4466
639	46859	4393
640	46928	4319
641	46996	4245
642	47085	4174
643	47139	4099
644	47232	4027
645	47333	3956
646	47443	3886
647	47529	3814
648	47591	3739
649	47682	3667
650	47769	3595
651	47832	3521
652	47910	3448
653	47997	3375
654	48017	3298
655	48078	3224
656	48140	3150
657	48222	3078
658	48299	3004
659	48364	2931
660	48439	2857
661	48460	2781
662	48543	2709
663	48621	2636
664	48646	2560
665	48716	2487
666	48790	2413
667	48879	2341
668	48949	2268
669	49179	2202
670	49265	2129
671	49337	2055
672	49409	1982
673	49464	1908
674	49536	1834
675	49613	1761
676	49652	1686
677	49693	1612
678	49809	1540
679	49901	1467
680	49963	1393
681	50069	1321
682	50144	1248
683	50206	1174
684	50273	1100
685	50353	1027
686	50440	954
687	50516	881
688	50588	807
689	50720	735
690	50851	662
691	50974	589
692	51075	515
693	51163	442
694	51268	368
695	51368	295
696	51457	221
697	51565	147
698	51666	73
699	51770	0
